順位,名前(ターゲット内表記),フルネーム(JRA-VANデータ内表記),読み(半角仮名/欧字),欧字表記名,所属,年齢,誕生日,免許取得年,キャリア,本年着度数,1着数,2着数,3着数,着外数,総数,勝率,連対率,複勝率,前年着度数,前年1着,前年2着,前年3着,前年着外,前年総数,前年勝率,前年連対率,前年複勝率,生涯着度数,生涯1着,生涯2着,生涯3着,生涯着外,生涯総数,生涯勝率,生涯連対率,生涯複勝率,コード,現役・抹消,チェック,勝数前年比,総レース数前年比,コメント,本年順位(平地),前年順位(平地)
16,舟山瑠泉,"舟山 瑠泉","ﾌﾅﾔﾏ ﾙｲ","Rui Funayama",美浦,19,2006. 7.28,2025,2,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 19- 20- 23-277(339)",19,20,23,277,339,5.6,11.5,18.3," 19- 20- 23-277(339)",19,20,23,277,339,5.6,11.5,18.3,01221,現役,0,0.0,0.0,,,55
17,伴啓太　,"伴 啓太","ﾊﾞﾝ ｹｲﾀ","Keita Ban",美浦,32,1993. 6. 4,2013,14,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 81- 90- 87-2170(2428)",81,90,87,2170,2428,3.3,7.0,10.6,01149,現役,0,,,,,
18,原田和真,"原田 和真","ﾊﾗﾀﾞ ｶｽﾞﾏ","Kazuma Harada",美浦,32,1994. 1.15,2012,15,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  5-  5-  6-174(190)",5,5,6,174,190,2.6,5.3,8.4," 58- 85- 96-2339(2578)",58,85,96,2339,2578,2.2,5.5,9.3,01143,現役,0,0.0,0.0,,,99
19,原優介　,"原 優介","ﾊﾗ ﾕｳｽｹ","Yusuke Hara",美浦,25,2000. 6.10,2020,7,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 21- 23- 35-573(652)",21,23,35,573,652,3.2,6.7,12.1,105-140-173-2919(3337),105,140,173,2919,3337,3.1,7.3,12.5,01184,現役,0,0.0,0.0,,,51
20,野中悠太,"野中 悠太郎","ﾉﾅｶ ﾕｳﾀﾛｳ","Yutaro Nonaka",美浦,29,1996.12.29,2015,12,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  5-  7- 12-281(305)",5,7,12,281,305,1.6,3.9,7.9,113-158-203-4121(4595),113,158,203,4121,4595,2.5,5.9,10.3,01158,現役,0,0.0,0.0,,,96
21,西村太一,"西村 太一","ﾆｼﾑﾗ ﾀｲﾁ","Taichi Nishimura",美浦,35,1990. 3.21,2010,17,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  1-  2-  1- 24( 28)",1,2,1,24,28,3.6,10.7,14.3," 66- 73- 82-1728(1949)",66,73,82,1728,1949,3.4,7.1,11.3,01131,現役,0,0.0,0.0,,,122
22,長浜鴻緒,"長浜 鴻緒","ﾅｶﾞﾊﾏ ｺｵ","Ko Nagahama",美浦,20,2005.11.12,2024,3,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 22- 28- 26-405(481)",22,28,26,405,481,4.6,10.4,15.8," 41- 55- 48-797(941)",41,55,48,797,941,4.4,10.2,15.3,01214,現役,0,0.0,0.0,,,48
23,戸崎圭太,"戸崎 圭太","ﾄｻｷ ｹｲﾀ","Keita Tosaki",美浦,45,1980. 7. 8,2013,14,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"132-127- 82-464(805)",132,127,82,464,805,16.4,32.2,42.4,1702-1438-1190-7224(11554),1702,1438,1190,7224,11554,14.7,27.2,37.5,05386,現役,0,0.0,0.0,,,2
24,津村明秀,"津村 明秀","ﾂﾑﾗ ｱｷﾋﾃﾞ","Akihide Tsumura",美浦,40,1986. 1. 5,2004,23,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 51- 59- 49-505(664)",51,59,49,505,664,7.7,16.6,23.9,729-873-914-9726(12242),729,873,914,9726,12242,6.0,13.1,20.6,01092,現役,0,0.0,0.0,,,20
25,土田真翔,"土田 真翔","ﾂﾁﾀﾞ ﾏﾅﾄ","Manato Tsuchida",美浦,22,2004. 2.17,2022,5,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0- 42( 42)",0,0,0,42,42,0.0,0.0,0.0,"  1-  6-  8-362(377)",1,6,8,362,377,0.3,1.9,4.0,01198,現役,0,,0.0,,,186
26,丹内祐次,"丹内 祐次","ﾀﾝﾅｲ ﾕｳｼﾞ","Yuji Tannai",美浦,40,1985.11. 5,2004,23,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 95- 93-111-708(1007)",95,93,111,708,1007,9.4,18.7,29.7,638-851-918-10210(12617),638,851,918,10210,12617,5.1,11.8,19.1,01091,現役,0,0.0,0.0,,,7
27,谷原柚希,"谷原 柚希","ﾀﾆﾊﾗ ﾕｽﾞｷ","Yuzuki Tanihara",美浦,19,2007. 2.20,2025,2,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  3-  0- 63( 66)",0,3,0,63,66,0.0,4.5,4.5,"  0-  3-  0- 63( 66)",0,3,0,63,66,0.0,4.5,4.5,01219,現役,0,,0.0,,,134
28,田辺裕信,"田辺 裕信","ﾀﾅﾍﾞ ﾋﾛﾉﾌﾞ","Hironobu Tanabe",美浦,42,1984. 2.12,2002,25,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 24- 22- 25-220(291)",24,22,25,220,291,8.2,15.8,24.4,1218-1197-1210-10291(13916),1218,1197,1210,10291,13916,8.8,17.4,26.0,01075,現役,0,0.0,0.0,,,44
29,杉原誠人,"杉原 誠人","ｽｷﾞﾊﾗ ﾏｺﾄ","Makoto Sugihara",美浦,33,1992.10.31,2011,16,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 19- 17- 20-355(411)",19,17,20,355,411,4.6,8.8,13.6,188-202-224-4332(4946),188,202,224,4332,4946,3.8,7.9,12.4,01135,現役,0,0.0,0.0,,,56
30,菅原明良,"菅原 明良","ｽｶﾞﾜﾗ ｱｷﾗ","Akira Sugawara",美浦,24,2001. 3.12,2019,8,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 63- 54- 70-540(727)",63,54,70,540,727,8.7,16.1,25.7,401-419-436-3852(5108),401,419,436,3852,5108,7.9,16.1,24.6,01179,現役,0,0.0,0.0,,,17
31,菅原隆一,"菅原 隆一","ｽｶﾞﾊﾗ ﾘｭｳｲﾁ","Ryuichi Sugahara",美浦,33,1992. 3.11,2010,17,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  1-  1-  1- 67( 70)",1,1,1,67,70,1.4,2.9,4.3," 23- 28- 31-1253(1335)",23,28,31,1253,1335,1.7,3.8,6.1,01129,現役,0,0.0,0.0,,,127
32,嶋田純次,"嶋田 純次","ｼﾏﾀﾞ ｼﾞｭﾝｼﾞ","Junji Shimada",美浦,32,1993. 3. 8,2011,16,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  6-  8- 18-189(221)",6,8,18,189,221,2.7,6.3,14.5,108-138-176-2960(3382),108,138,176,2960,3382,3.2,7.3,12.5,01134,現役,0,0.0,0.0,,,91
33,柴田善臣,"柴田 善臣","ｼﾊﾞﾀ ﾖｼﾄﾐ","Yoshitomi Shibata",美浦,59,1966. 7.30,1985,42,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  3-  2-  3- 59( 67)",3,2,3,59,67,4.5,7.5,11.9,2338-2311-2160-15434(22243),2338,2311,2160,15434,22243,10.5,20.9,30.6,00641,現役,0,0.0,0.0,,,111
34,柴田大知,"柴田 大知","ｼﾊﾞﾀ ﾀﾞｲﾁ","Daichi Shibata",美浦,48,1977. 6.18,1996,31,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  7- 14-  9-341(371)",7,14,9,341,371,1.9,5.7,8.1,551-691-799-10663(12704),551,691,799,10663,12704,4.3,9.8,16.1,01009,現役,0,0.0,0.0,,,85
35,佐藤翔馬,"佐藤 翔馬","ｻﾄｳ ｼｮｳﾏ","Shoma Sato",美浦,21,2004.11. 8,2023,4,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  4-  7-  5-216(232)",4,7,5,216,232,1.7,4.7,6.9,"  8-  9- 18-571(606)",8,9,18,571,606,1.3,2.8,5.8,01207,現役,0,0.0,0.0,,,102
36,佐々木大,"佐々木 大輔","ｻｻｷ ﾀﾞｲｽｹ","Daisuke Sasaki",美浦,22,2003.11.24,2022,5,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 81- 66- 69-656(872)",81,66,69,656,872,9.3,16.9,24.8,235-197-231-2040(2703),235,197,231,2040,2703,8.7,16.0,24.5,01197,現役,0,0.0,0.0,,,9
37,坂口智康,"坂口 智康","ｻｶｸﾞﾁ ﾄﾓﾔｽ","Tomoyasu Sakaguchi",美浦,35,1990.12.16,2024,3,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  7-  6-  8- 69( 90)",7,6,8,69,90,7.8,14.4,23.3,01211,現役,0,,,,,
38,木幡初也,"木幡 初也","ｺﾜﾀ ﾊﾂﾔ","Hatsuya Kowata",美浦,30,1995. 4. 7,2014,13,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  3-  9-  4-144(160)",3,9,4,144,160,1.9,7.5,10.0," 94-132-143-2922(3291)",94,132,143,2922,3291,2.9,6.9,11.2,01153,現役,0,0.0,0.0,,,109
39,木幡巧也,"木幡 巧也","ｺﾜﾀ ﾀｸﾔ","Takuya Kowata",美浦,29,1996. 5. 9,2016,11,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 26- 29- 45-576(676)",26,29,45,576,676,3.8,8.1,14.8,264-319-360-5152(6095),264,319,360,5152,6095,4.3,9.6,15.5,01162,現役,0,0.0,0.0,,,42
40,木幡育也,"木幡 育也","ｺﾜﾀ ｲｸﾔ","Ikuya Kowata",美浦,27,1998. 9.21,2017,10,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  5-  3-116(124)",0,5,3,116,124,0.0,4.0,6.5," 65- 79- 98-2034(2276)",65,79,98,2034,2276,2.9,6.3,10.6,01167,現役,0,,0.0,,,133
41,小林凌大,"小林 凌大","ｺﾊﾞﾔｼ ﾘｮｳﾀ","Ryota Kobayashi",美浦,25,2001. 2.20,2019,8,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  4-  3-  6-127(140)",4,3,6,127,140,2.9,5.0,9.3," 54- 64- 81-1692(1891)",54,64,81,1692,1891,2.9,6.2,10.5,01177,現役,0,0.0,0.0,,,105
42,小林美駒,"小林 美駒","ｺﾊﾞﾔｼ ﾐｸ","Miku Kobayashi",美浦,20,2005. 3.19,2023,4,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 37- 36- 33-346(452)",37,36,33,346,452,8.2,16.2,23.5," 66- 65- 67-813(1011)",66,65,67,813,1011,6.5,13.0,19.6,01206,現役,0,0.0,0.0,,,28
43,小林脩斗,"小林 脩斗","ｺﾊﾞﾔｼ ｼｭｳﾄ","Shuto Kobayashi",美浦,24,2001.11. 8,2020,7,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  5-  7-  9-210(231)",5,7,9,210,231,2.2,5.2,9.1," 46- 55- 64-1538(1703)",46,55,64,1538,1703,2.7,5.9,9.7,01183,現役,0,0.0,0.0,,,97
44,草野太郎,"草野 太郎","ｸｻﾉ ﾀﾛｳ","Taro Kusano",美浦,37,1989. 1.20,2007,20,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  1(  1)",0,0,0,1,1,0.0,0.0,0.0," 75-100- 78-1522(1775)",75,100,78,1522,1775,4.2,9.9,14.3,01113,現役,0,,0.0,,,146
45,北村宏司,"北村 宏司","ｷﾀﾑﾗ ﾋﾛｼ","Hiroshi Kitamura",美浦,45,1980. 7.24,1999,28,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 12- 13- 27-246(298)",12,13,27,246,298,4.0,8.4,17.4,1479-1457-1420-12881(17237),1479,1457,1420,12881,17237,8.6,17.0,25.3,01043,現役,0,0.0,0.0,,,74
46,菊沢一樹,"菊沢 一樹","ｷｸｻﾞﾜ ｶｽﾞｷ","Kazuki Kikuzawa",美浦,28,1997. 8.27,2016,11,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 29- 30- 57-620(736)",29,30,57,620,736,3.9,8.0,15.8,180-207-307-4310(5004),180,207,307,4310,5004,3.6,7.7,13.9,01161,現役,0,0.0,0.0,,,37
47,金子光希,"金子 光希","ｶﾈｺ ﾐﾂｷ","Mitsuki Kaneko",美浦,43,1982. 3.10,2000,27,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 84-106- 96-1353(1639)",84,106,96,1353,1639,5.1,11.6,17.4,01052,現役,0,,,,,
48,大野拓弥,"大野 拓弥","ｵｵﾉ ﾀｸﾔ","Takuya Ono",美浦,39,1986. 9. 8,2005,22,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 35- 29- 41-428(533)",35,29,41,428,533,6.6,12.0,19.7,752-877-1008-11082(13719),752,877,1008,11082,13719,5.5,11.9,19.2,01096,現役,0,0.0,0.0,,,32
49,大江原圭,"大江原 圭","ｵｵｴﾊﾗ ｹｲ","Kei Oehara",美浦,36,1990. 2.26,2008,19,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 48- 58- 83-1069(1258)",48,58,83,1069,1258,3.8,8.4,15.0,01120,現役,0,,,,,
50,遠藤汰月,"遠藤 汰月","ｴﾝﾄﾞｳ ﾀﾂｷ","Tatsuki Endo",美浦,20,2006. 2.14,2025,2,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  5-  4-  8-293(310)",5,4,8,293,310,1.6,2.9,5.5,"  5-  4-  8-293(310)",5,4,8,293,310,1.6,2.9,5.5,01218,現役,0,0.0,0.0,,,100
51,江田勇亮,"江田 勇亮","ｴﾀﾞ ﾕｳｽｹ","Yusuke Eda",美浦,47,1978. 9. 4,1997,30,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 68- 61-107-1343(1579)",68,61,107,1343,1579,4.3,8.2,14.9,01023,現役,0,,,,,
52,江田照男,"江田 照男","ｴﾀﾞ ﾃﾙｵ","Teruo Eda",美浦,54,1972. 2. 8,1990,37,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  3- 13- 15-275(306)",3,13,15,275,306,1.0,5.2,10.1,975-1046-1124-15667(18812),975,1046,1124,15667,18812,5.2,10.7,16.7,00689,現役,0,0.0,0.0,,,107
53,内田博幸,"内田 博幸","ｳﾁﾀﾞ ﾋﾛﾕｷ","Hiroyuki Uchida",美浦,55,1970. 7.26,2008,19,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 21- 30- 39-493(583)",21,30,39,493,583,3.6,8.7,15.4,1383-1246-1244-10626(14499),1383,1246,1244,10626,14499,9.5,18.1,26.7,00422,現役,0,0.0,0.0,,,50
54,上野翔　,"上野 翔","ｳｴﾉ ｼｮｳ","Sho Ueno",美浦,40,1985.12.23,2004,23,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  7(  7)",0,0,0,7,7,0.0,0.0,0.0," 98-117-139-1987(2341)",98,117,139,1987,2341,4.2,9.2,15.1,01087,現役,0,,0.0,,,180
55,上里直汰,"上里 直汰","ｳｴｻﾞﾄ ﾅｵﾀ","Naota Uezato",美浦,19,2007. 3. 1,2025,2,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 10-  6-  6-202(224)",10,6,6,202,224,4.5,7.1,9.8," 10-  6-  6-202(224)",10,6,6,202,224,4.5,7.1,9.8,01217,現役,0,0.0,0.0,,,80
56,岩部純二,"岩部 純二","ｲﾜﾍﾞ ｼﾞｭﾝｼﾞ","Junji Iwabe",美浦,49,1976. 3.25,1994,33,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  2-  3- 91( 96)",0,2,3,91,96,0.0,2.1,5.2,159-203-194-4333(4889),159,203,194,4333,4889,3.3,7.4,11.4,00726,現役,0,,0.0,,,135
57,伊藤工真,"伊藤 工真","ｲﾄｳ ﾀｸﾏ","Takuma Ito",美浦,36,1990. 2.26,2008,19,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  3-  1-  6- 52( 62)",3,1,6,52,62,4.8,6.5,16.1,130-193-210-3493(4026),130,193,210,3493,4026,3.2,8.0,13.2,01119,現役,0,0.0,0.0,,,113
58,石橋脩　,"石橋 脩","ｲｼﾊﾞｼ ｼｭｳ","Shu Ishibashi",美浦,41,1984. 4. 3,2003,24,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 21- 23- 26-322(392)",21,23,26,322,392,5.4,11.2,17.9,873-922-987-10574(13356),873,922,987,10574,13356,6.5,13.4,20.8,01077,現役,0,0.0,0.0,,,52
59,石田拓郎,"石田 拓郎","ｲｼﾀﾞ ﾀｸﾛｳ","Takuro Ishida",美浦,21,2005. 1.20,2023,4,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 14- 10- 13-337(374)",14,10,13,337,374,3.7,6.4,9.9," 21- 19- 21-662(723)",21,19,21,662,723,2.9,5.5,8.4,01203,現役,0,0.0,0.0,,,70
60,石川裕紀,"石川 裕紀人","ｲｼｶﾜ ﾕｷﾄ","Yukito Ishikawa",美浦,30,1995. 9.22,2014,13,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 28- 34- 35-375(472)",28,34,35,375,472,5.9,13.1,20.6,339-358-383-5089(6169),339,358,383,5089,6169,5.5,11.3,17.5,01150,現役,0,0.0,0.0,,,38
61,石神深道,"石神 深道","ｲｼｶﾞﾐ ﾌｶﾐﾁ","Fukamichi Ishigami",美浦,20,2005.10.22,2024,3,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 18- 21- 29-394(462)",18,21,29,394,462,3.9,8.4,14.7," 22- 24- 37-619(702)",22,24,37,619,702,3.1,6.6,11.8,01209,現役,0,0.0,0.0,,,60
62,石神深一,"石神 深一","ｲｼｶﾞﾐ ｼﾝｲﾁ","Shinichi Ishigami",美浦,43,1982. 6. 3,2001,26,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  1-  4(  5)",0,0,1,4,5,0.0,0.0,20.0,215-236-266-3347(4064),215,236,266,3347,4064,5.3,11.1,17.6,01059,現役,0,,0.0,,,140
63,五十嵐雄,"五十嵐 雄祐","ｲｶﾞﾗｼ ﾕｳｽｹ","Yusuke Igarashi",美浦,42,1984. 2.16,2002,25,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  1(  1)",0,0,0,1,1,0.0,0.0,0.0,217-195-211-2302(2925),217,195,211,2302,2925,7.4,14.1,21.3,01069,現役,0,,0.0,,,146
64,和田竜二,"和田 竜二","ﾜﾀﾞ ﾘｭｳｼﾞ","Ryuji Wada",栗東,48,1977. 6.23,1996,31,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 19- 35- 42-420(516)",19,35,42,420,516,3.7,10.5,18.6,1534-1867-1816-16942(22159),1534,1867,1816,16942,22159,6.9,15.3,23.5,01018,現役,0,0.0,0.0,,,53
65,和田陽希,"和田 陽希","ﾜﾀﾞ ﾊﾙｷ","Haruki Wada",栗東,18,2007. 3.15,2025,2,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 11-  9- 18-291(329)",11,9,18,291,329,3.3,6.1,11.6," 11-  9- 18-291(329)",11,9,18,291,329,3.3,6.1,11.6,01223,現役,0,0.0,0.0,,,77
66,鷲頭虎太,"鷲頭 虎太","ﾜｼｽﾞ ｺﾀ","Kota Washizu",栗東,22,2003.12. 6,2022,5,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  9- 14- 17-209(249)",9,14,17,209,249,3.6,9.2,16.1," 31- 52- 46-797(926)",31,52,46,797,926,3.3,9.0,13.9,01202,現役,0,0.0,0.0,,,81
67,ルメール,Ｃ．ルメール,ﾙﾒｰﾙ.ｸﾘｽﾄﾌ,"Christophe Lemaire",栗東,46,1979. 5.20,2015,12,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"140-111- 67-203(521)",140,111,67,203,521,26.9,48.2,61.0,2114-1520-1108-4739(9481),2114,1520,1108,4739,9481,22.3,38.3,50.0,05339,現役,0,0.0,0.0,,,1
68,吉村誠之,"吉村 誠之助","ﾖｼﾑﾗ ｾｲﾉｽｹ","Seinosuke Yoshimura",栗東,20,2006. 1. 4,2024,3,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 66- 62- 64-697(889)",66,62,64,697,889,7.4,14.4,21.6," 99- 95-104-1159(1457)",99,95,104,1159,1457,6.8,13.3,20.5,01216,現役,0,0.0,0.0,,,16
69,森田誠也,"森田 誠也","ﾓﾘﾀ ｾｲﾔ","Seiya Morita",栗東,19,2007. 1. 5,2025,2,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  6-  7- 16-201(230)",6,7,16,201,230,2.6,5.7,12.6,"  6-  7- 16-201(230)",6,7,16,201,230,2.6,5.7,12.6,01222,現役,0,0.0,0.0,,,92
